# Organism: H. sapiens
# Application version: 3.5.0
# Database version: 16 October 2014 00:00:00
# Network generated on: 1 May 2017
# Author: GeneMANIA (genemania.org)
# Notes: Network weight reflects the data source relevance for predicting the function of interest
Entity 1	Entity 2	Weight	Network group	Network
APOC1	EPHA1	0.0058956463	Co-expression	Chen-Brown-2002
APOC2	BCAM	0.006598013	Co-expression	Chen-Brown-2002
APOC2	EPHA1	0.0043138238	Co-expression	Chen-Brown-2002
APOC2	APOC1	0.0033978347	Co-expression	Chen-Brown-2002
APOE	APOC2	0.0030787636	Co-expression	Chen-Brown-2002
HLA-DQA1	MS4A4A	0.009638243	Co-expression	Chen-Brown-2002
HLA-DQA1	MS4A6A	0.008940224	Co-expression	Chen-Brown-2002
PTK2B	HLA-DQA1	0.007779206	Co-expression	Chen-Brown-2002
HLA-DRB1	MS4A4A	0.011720667	Co-expression	Chen-Brown-2002
HLA-DRB1	MS4A6A	0.010611943	Co-expression	Chen-Brown-2002
HLA-DRB1	HLA-DQA1	0.0083587235	Co-expression	Chen-Brown-2002
APOA1	BCAM	0.0063823243	Co-expression	Chen-Brown-2002
APOA1	EPHA1	0.004318782	Co-expression	Chen-Brown-2002
APOA1	APOC1	0.0034512994	Co-expression	Chen-Brown-2002
APOA1	APOC2	0.002266952	Co-expression	Chen-Brown-2002
APOA1	APOE	0.0033386857	Co-expression	Chen-Brown-2002
HLA-DPB1	MS4A4A	0.007921383	Co-expression	Chen-Brown-2002
HLA-DPB1	MS4A6A	0.007025796	Co-expression	Chen-Brown-2002
HLA-DPB1	HLA-DQA1	0.005935064	Co-expression	Chen-Brown-2002
HLA-DPB1	HLA-DRB1	0.007804837	Co-expression	Chen-Brown-2002
APOA4	APOA1	0.0056416197	Co-expression	Chen-Brown-2002
C1QB	MS4A4A	0.009674064	Co-expression	Chen-Brown-2002
C1QB	MS4A6A	0.009355993	Co-expression	Chen-Brown-2002
C1QB	HLA-DQA1	0.0056677624	Co-expression	Chen-Brown-2002
C1QB	HLA-DRB1	0.007234261	Co-expression	Chen-Brown-2002
C1QB	HLA-DPB1	0.005083609	Co-expression	Chen-Brown-2002
HLA-DRA	MS4A4A	0.012512649	Co-expression	Chen-Brown-2002
HLA-DRA	HLA-DQA1	0.010274834	Co-expression	Chen-Brown-2002
HLA-DRA	HLA-DRB1	0.014689474	Co-expression	Chen-Brown-2002
HLA-DRA	HLA-DPB1	0.008092322	Co-expression	Chen-Brown-2002
HLA-DMA	MS4A4A	0.01362032	Co-expression	Chen-Brown-2002
HLA-DMA	MS4A6A	0.0139975	Co-expression	Chen-Brown-2002
HLA-DMA	HLA-DQA1	0.009885412	Co-expression	Chen-Brown-2002
HLA-DMA	HLA-DRB1	0.015033763	Co-expression	Chen-Brown-2002
HLA-DMA	HLA-DPB1	0.008510135	Co-expression	Chen-Brown-2002
HLA-DMA	HLA-DRA	0.0182231	Co-expression	Chen-Brown-2002
HLA-DQB1	MS4A4A	0.007993277	Co-expression	Chen-Brown-2002
HLA-DQB1	MS4A6A	0.0071282904	Co-expression	Chen-Brown-2002
HLA-DQB1	HLA-DQA1	0.0059636463	Co-expression	Chen-Brown-2002
HLA-DQB1	HLA-DRB1	0.008482865	Co-expression	Chen-Brown-2002
HLA-DQB1	HLA-DPB1	0.0051968982	Co-expression	Chen-Brown-2002
HLA-DQB1	C1QB	0.0050390074	Co-expression	Chen-Brown-2002
HLA-DQB1	HLA-DRA	0.00898586	Co-expression	Chen-Brown-2002
HLA-DQB1	HLA-DMA	0.009384406	Co-expression	Chen-Brown-2002
APOC3	APOC1	0.0033011034	Co-expression	Chen-Brown-2002
APOC3	APOC2	0.0022134297	Co-expression	Chen-Brown-2002
APOC3	APOE	0.0034306059	Co-expression	Chen-Brown-2002
APOC3	APOA1	0.002438341	Co-expression	Chen-Brown-2002
APOC3	APOC4-APOC2	0.0033958007	Co-expression	Chen-Brown-2002
MS4A7	MS4A4A	0.017318493	Co-expression	Chen-Brown-2002
MS4A7	MS4A6A	0.016167585	Co-expression	Chen-Brown-2002
MS4A7	HLA-DQA1	0.011293365	Co-expression	Chen-Brown-2002
MS4A7	HLA-DRB1	0.012349562	Co-expression	Chen-Brown-2002
MS4A7	HLA-DPB1	0.008298554	Co-expression	Chen-Brown-2002
MS4A7	C1QB	0.01008444	Co-expression	Chen-Brown-2002
MS4A7	HLA-DRA	0.015588327	Co-expression	Chen-Brown-2002
MS4A7	HLA-DMA	0.015487444	Co-expression	Chen-Brown-2002
MS4A7	HLA-DQB1	0.008715388	Co-expression	Chen-Brown-2002
MARK4	CEACAM19	0.018725896	Co-expression	Mallon-McKay-2013
MS4A6A	MS4A4A	0.008444988	Co-expression	Mallon-McKay-2013
SORL1	CBLC	0.018020486	Co-expression	Mallon-McKay-2013
FBXO46	YLPM1	0.014192764	Co-expression	Mallon-McKay-2013
DSG2	PVRL2	0.012933364	Co-expression	Mallon-McKay-2013
APOE	APOC1	0.015264783	Co-expression	Mallon-McKay-2013
HLA-DRB1	MS4A2	0.012709138	Co-expression	Mallon-McKay-2013
HLA-DRB1	HLA-DQA1	0.015410026	Co-expression	Mallon-McKay-2013
APOA1	APOC1	0.012121489	Co-expression	Mallon-McKay-2013
APOA1	APOC2	0.012511285	Co-expression	Mallon-McKay-2013
APOA1	APOE	0.010258142	Co-expression	Mallon-McKay-2013
CLUL1	CLU	0.022915108	Co-expression	Mallon-McKay-2013
APOA5	APOC2	0.015093269	Co-expression	Mallon-McKay-2013
SFSWAP	CLASRP	0.019088682	Co-expression	Mallon-McKay-2013
HLA-DPB1	HLA-DQA1	0.0146237025	Co-expression	Mallon-McKay-2013
HLA-DPB1	HLA-DRB1	0.009185732	Co-expression	Mallon-McKay-2013
APOA4	IGSF23	0.022627346	Co-expression	Mallon-McKay-2013
APOA4	APOC2	0.02208014	Co-expression	Mallon-McKay-2013
APOA4	APOA1	0.011265367	Co-expression	Mallon-McKay-2013
CRTAM	MS4A2	0.015073371	Co-expression	Mallon-McKay-2013
CRTAM	HLA-DQA1	0.01858272	Co-expression	Mallon-McKay-2013
CRTAM	HLA-DRB1	0.010722201	Co-expression	Mallon-McKay-2013
CRTAM	HLA-DPB1	0.010637115	Co-expression	Mallon-McKay-2013
C1QB	MS4A4A	0.0073666824	Co-expression	Mallon-McKay-2013
C1QB	MS4A6A	0.006803231	Co-expression	Mallon-McKay-2013
KIDINS220	FCF1	0.010339033	Co-expression	Mallon-McKay-2013
HLA-DRA	MS4A4A	0.008598256	Co-expression	Mallon-McKay-2013
HLA-DRA	HLA-DQA1	0.014366957	Co-expression	Mallon-McKay-2013
HLA-DRA	HLA-DRB1	0.009299378	Co-expression	Mallon-McKay-2013
HLA-DRA	HLA-DPB1	0.00869416	Co-expression	Mallon-McKay-2013
HLA-DRA	CRTAM	0.010288238	Co-expression	Mallon-McKay-2013
HLA-DMA	MS4A2	0.011842458	Co-expression	Mallon-McKay-2013
HLA-DMA	HLA-DQA1	0.014229593	Co-expression	Mallon-McKay-2013
HLA-DMA	HLA-DRB1	0.009407772	Co-expression	Mallon-McKay-2013
HLA-DMA	HLA-DPB1	0.008606326	Co-expression	Mallon-McKay-2013
HLA-DMA	CRTAM	0.009831251	Co-expression	Mallon-McKay-2013
HLA-DMA	HLA-DRA	0.008544525	Co-expression	Mallon-McKay-2013
HLA-DMB	HLA-DQA1	0.020881511	Co-expression	Mallon-McKay-2013
HLA-DMB	HLA-DRB1	0.013008666	Co-expression	Mallon-McKay-2013
HLA-DMB	HLA-DPB1	0.01241929	Co-expression	Mallon-McKay-2013
HLA-DMB	CRTAM	0.015014415	Co-expression	Mallon-McKay-2013
HLA-DMB	HLA-DRA	0.012245637	Co-expression	Mallon-McKay-2013
HLA-DMB	HLA-DMA	0.012249872	Co-expression	Mallon-McKay-2013
HLA-DQB1	HLA-DRB1	0.014867594	Co-expression	Mallon-McKay-2013
HLA-DQB1	HLA-DPB1	0.013823036	Co-expression	Mallon-McKay-2013
HLA-DQB1	CRTAM	0.017746912	Co-expression	Mallon-McKay-2013
HLA-DQB1	HLA-DRA	0.013565026	Co-expression	Mallon-McKay-2013
HLA-DQB1	HLA-DMA	0.013871702	Co-expression	Mallon-McKay-2013
HLA-DQB1	HLA-DMB	0.019988414	Co-expression	Mallon-McKay-2013
APOC3	APOC2	0.021007515	Co-expression	Mallon-McKay-2013
APOC3	APOA1	0.010429403	Co-expression	Mallon-McKay-2013
APOC3	APOA5	0.013366764	Co-expression	Mallon-McKay-2013
APOC3	APOA4	0.015387161	Co-expression	Mallon-McKay-2013
MS4A7	MS4A6A	0.006660162	Co-expression	Mallon-McKay-2013
MS4A7	C1QB	0.006513592	Co-expression	Mallon-McKay-2013
FBXO46	PVR	0.00912606	Co-expression	Smirnov-Cheung-2009
CLASRP	YLPM1	0.011975509	Co-expression	Smirnov-Cheung-2009
BCL3	TRAPPC6A	0.010580768	Co-expression	Smirnov-Cheung-2009
CD33	DSG2	0.017657043	Co-expression	Smirnov-Cheung-2009
HLA-DRB1	PVRL2	0.004889319	Co-expression	Smirnov-Cheung-2009
HLA-DRB1	FBXO46	0.0017896256	Co-expression	Smirnov-Cheung-2009
HLA-DRB1	APOC1	0.0068438957	Co-expression	Smirnov-Cheung-2009
HLA-DRB1	TRAPPC6A	0.0025183172	Co-expression	Smirnov-Cheung-2009
HLA-DRB1	BCL3	0.005407008	Co-expression	Smirnov-Cheung-2009
TOMM40	CLPTM1	0.001416415	Co-expression	Smirnov-Cheung-2009
RELB	BCL3	0.015140078	Co-expression	Smirnov-Cheung-2009
SFSWAP	CLASRP	0.013645045	Co-expression	Smirnov-Cheung-2009
HLA-DPB1	TRAPPC6A	0.008569723	Co-expression	Smirnov-Cheung-2009
C1QB	CD33	0.027640851	Co-expression	Smirnov-Cheung-2009
HLA-DRA	HLA-DPB1	0.014954853	Co-expression	Smirnov-Cheung-2009
HLA-DMA	HLA-DPB1	0.015803766	Co-expression	Smirnov-Cheung-2009
HLA-DMA	CRTAM	0.010628061	Co-expression	Smirnov-Cheung-2009
HLA-DMA	HLA-DRA	0.009133713	Co-expression	Smirnov-Cheung-2009
HLA-DMB	HLA-DPB1	0.012373933	Co-expression	Smirnov-Cheung-2009
HLA-DMB	CRTAM	0.009291421	Co-expression	Smirnov-Cheung-2009
HLA-DMB	HLA-DRA	0.006759254	Co-expression	Smirnov-Cheung-2009
HLA-DMB	HLA-DMA	0.010621931	Co-expression	Smirnov-Cheung-2009
HLA-DQB1	HLA-DQA1	0.050547685	Co-expression	Smirnov-Cheung-2009
HLA-DQB1	HLA-DPB1	0.018253496	Co-expression	Smirnov-Cheung-2009
HLA-DQB1	HLA-DRA	0.008573906	Co-expression	Smirnov-Cheung-2009
HLA-DQB1	HLA-DMA	0.011900767	Co-expression	Smirnov-Cheung-2009
HLA-DQB1	HLA-DMB	0.010859346	Co-expression	Smirnov-Cheung-2009
PICALM	MS4A6A	0.009218338	Co-expression	Bahr-Bowler-2013
BIN1	DMWD	0.009837004	Co-expression	Bahr-Bowler-2013
TRAPPC6A	BIN1	0.009294231	Co-expression	Bahr-Bowler-2013
CD33	MS4A6A	0.0059312577	Co-expression	Bahr-Bowler-2013
HMHA1	ABCA7	0.01202375	Co-expression	Bahr-Bowler-2013
RELB	CLASRP	0.01455374	Co-expression	Bahr-Bowler-2013
RELB	BCL3	0.013467204	Co-expression	Bahr-Bowler-2013
SFSWAP	CLASRP	0.014636876	Co-expression	Bahr-Bowler-2013
HLA-DPB1	HLA-DRB1	0.02465583	Co-expression	Bahr-Bowler-2013
HLA-DRA	HLA-DRB1	0.019208128	Co-expression	Bahr-Bowler-2013
HLA-DRA	HLA-DPB1	0.023748344	Co-expression	Bahr-Bowler-2013
HLA-DMA	HLA-DRB1	0.021482294	Co-expression	Bahr-Bowler-2013
HLA-DMA	RELB	0.017795492	Co-expression	Bahr-Bowler-2013
HLA-DMA	HLA-DPB1	0.026637817	Co-expression	Bahr-Bowler-2013
HLA-DMA	HLA-DRA	0.020984234	Co-expression	Bahr-Bowler-2013
HLA-DMB	MS4A6A	0.008648782	Co-expression	Bahr-Bowler-2013
HLA-DMB	CD33	0.011173397	Co-expression	Bahr-Bowler-2013
HLA-DMB	HLA-DPB1	0.024820413	Co-expression	Bahr-Bowler-2013
HLA-DMB	HLA-DRA	0.020338915	Co-expression	Bahr-Bowler-2013
HLA-DMB	HLA-DMA	0.022496812	Co-expression	Bahr-Bowler-2013
HLA-DQB1	HLA-DRA	0.014951838	Co-expression	Bahr-Bowler-2013
HLA-DQB1	HLA-DMA	0.01530188	Co-expression	Bahr-Bowler-2013
MS4A7	MS4A4A	0.016992293	Co-expression	Bahr-Bowler-2013
PTK2B	HLA-DQA1	0.015302026	Co-expression	Alizadeh-Staudt-2000
HLA-DRB1	HLA-DQA1	0.032134626	Co-expression	Alizadeh-Staudt-2000
HMHA1	BIN1	0.014269826	Co-expression	Alizadeh-Staudt-2000
SFSWAP	DMWD	0.015688486	Co-expression	Alizadeh-Staudt-2000
HLA-DPB1	HLA-DQA1	0.029391928	Co-expression	Alizadeh-Staudt-2000
HLA-DPB1	PTK2B	0.014890475	Co-expression	Alizadeh-Staudt-2000
HLA-DPB1	HLA-DRB1	0.026827872	Co-expression	Alizadeh-Staudt-2000
HLA-DRA	HLA-DQA1	0.034252137	Co-expression	Alizadeh-Staudt-2000
HLA-DRA	PTK2B	0.016755754	Co-expression	Alizadeh-Staudt-2000
HLA-DRA	HLA-DRB1	0.029630113	Co-expression	Alizadeh-Staudt-2000
HLA-DRA	HLA-DPB1	0.02823002	Co-expression	Alizadeh-Staudt-2000
HLA-DMA	HLA-DQA1	0.020508457	Co-expression	Alizadeh-Staudt-2000
HLA-DMA	HLA-DRB1	0.018980699	Co-expression	Alizadeh-Staudt-2000
HLA-DMA	HLA-DPB1	0.01878139	Co-expression	Alizadeh-Staudt-2000
HLA-DMA	HLA-DRA	0.020301221	Co-expression	Alizadeh-Staudt-2000
HLA-DMB	HLA-DQA1	0.020821892	Co-expression	Alizadeh-Staudt-2000
HLA-DMB	HLA-DRB1	0.019286491	Co-expression	Alizadeh-Staudt-2000
HLA-DMB	HLA-DPB1	0.019394232	Co-expression	Alizadeh-Staudt-2000
HLA-DMB	HLA-DRA	0.021164412	Co-expression	Alizadeh-Staudt-2000
HLA-DMB	HLA-DMA	0.01695021	Co-expression	Alizadeh-Staudt-2000
HLA-DQB1	HLA-DQA1	0.038126715	Co-expression	Alizadeh-Staudt-2000
HLA-DQB1	PTK2B	0.017248968	Co-expression	Alizadeh-Staudt-2000
HLA-DQB1	HLA-DRB1	0.032988716	Co-expression	Alizadeh-Staudt-2000
HLA-DQB1	HLA-DPB1	0.029120108	Co-expression	Alizadeh-Staudt-2000
HLA-DQB1	HLA-DRA	0.032237537	Co-expression	Alizadeh-Staudt-2000
HLA-DQB1	HLA-DMA	0.021257292	Co-expression	Alizadeh-Staudt-2000
HLA-DQB1	HLA-DMB	0.021008328	Co-expression	Alizadeh-Staudt-2000
MS4A7	CR1	0.01388871	Co-expression	Alizadeh-Staudt-2000
MS4A7	HLA-DRB1	0.014424101	Co-expression	Alizadeh-Staudt-2000
PVRL2	PPP1R37	0.0055168034	Co-expression	Wu-Garvey-2007
APOE	PVRL2	0.004999568	Co-expression	Wu-Garvey-2007
TRAPPC6A	FBXO46	0.013557949	Co-expression	Wu-Garvey-2007
BCL3	DMWD	0.009047626	Co-expression	Wu-Garvey-2007
CD2AP	PICALM	0.004356553	Co-expression	Wu-Garvey-2007
TOMM40	TRAPPC6A	0.012789182	Co-expression	Wu-Garvey-2007
RELB	APOE	0.0057292203	Co-expression	Wu-Garvey-2007
SFSWAP	FBXO46	0.017492905	Co-expression	Wu-Garvey-2007
SFSWAP	TOMM40	0.0120205125	Co-expression	Wu-Garvey-2007
HLA-DMB	HLA-DMA	0.013159522	Co-expression	Wu-Garvey-2007
APOC3	BCAM	0.007805752	Co-expression	Wu-Garvey-2007
CLU	SCARA3	0.0044937497	Co-expression	Gysin-McMahon-2012
CLASRP	TRAPPC6A	0.008157147	Co-expression	Gysin-McMahon-2012
CD33	BCAM	0.0053467816	Co-expression	Gysin-McMahon-2012
CLPTM1	FBXO46	0.014145171	Co-expression	Gysin-McMahon-2012
RELB	PVRL2	0.01603189	Co-expression	Gysin-McMahon-2012
HLA-DPB1	HLA-DRB1	0.0205535	Co-expression	Gysin-McMahon-2012
CD226	CLUL1	0.010215899	Co-expression	Gysin-McMahon-2012
C1QB	APOC4-APOC2	0.008225564	Co-expression	Gysin-McMahon-2012
HLA-DRA	HLA-DRB1	0.02269614	Co-expression	Gysin-McMahon-2012
HLA-DRA	HLA-DPB1	0.021735482	Co-expression	Gysin-McMahon-2012
HLA-DMA	HLA-DRB1	0.008652587	Co-expression	Gysin-McMahon-2012
HLA-DMA	HLA-DRA	0.009038577	Co-expression	Gysin-McMahon-2012
CLU	BCAM	0.008244229	Co-expression	Rieger-Chu-2004
CD2AP	SORL1	0.0061491914	Co-expression	Rieger-Chu-2004
PTK2B	PVRL2	0.008333833	Co-expression	Rieger-Chu-2004
PTK2B	FBXO46	0.008192693	Co-expression	Rieger-Chu-2004
CLPTM1	BCL3	0.0048654005	Co-expression	Rieger-Chu-2004
SFSWAP	TOMM40	0.005836203	Co-expression	Rieger-Chu-2004
HLA-DPB1	HLA-DQA1	0.013730393	Co-expression	Rieger-Chu-2004
KIDINS220	CD2AP	0.0030720697	Co-expression	Rieger-Chu-2004
HLA-DRA	HLA-DQA1	0.012931262	Co-expression	Rieger-Chu-2004
HLA-DRA	APOA1	0.0049182563	Co-expression	Rieger-Chu-2004
HLA-DRA	HLA-DPB1	0.017922534	Co-expression	Rieger-Chu-2004
HLA-DMA	HLA-DQA1	0.015649013	Co-expression	Rieger-Chu-2004
HLA-DMA	HLA-DPB1	0.016481133	Co-expression	Rieger-Chu-2004
HLA-DMA	HLA-DRA	0.009381051	Co-expression	Rieger-Chu-2004
HLA-DMB	HLA-DQA1	0.013864428	Co-expression	Rieger-Chu-2004
HLA-DMB	HLA-DPB1	0.017618628	Co-expression	Rieger-Chu-2004
HLA-DMB	CD226	0.015449628	Co-expression	Rieger-Chu-2004
HLA-DMB	HLA-DMA	0.021627596	Co-expression	Rieger-Chu-2004
HLA-DQB1	HLA-DPB1	0.02520035	Co-expression	Rieger-Chu-2004
HLA-DQB1	HLA-DRA	0.016783072	Co-expression	Rieger-Chu-2004
HLA-DQB1	HLA-DMA	0.014180752	Co-expression	Rieger-Chu-2004
HLA-DQB1	HLA-DMB	0.014753823	Co-expression	Rieger-Chu-2004
APOE	CLU	0.030706542	Co-expression	Cheok-Evans-2003
SFSWAP	CLPTM1	0.010807313	Co-expression	Cheok-Evans-2003
HLA-DPB1	HLA-DQA1	0.016242767	Co-expression	Cheok-Evans-2003
APOA4	DMWD	0.008804112	Co-expression	Cheok-Evans-2003
C1QB	RELB	0.025127685	Co-expression	Cheok-Evans-2003
KIDINS220	FBXO46	0.0041785017	Co-expression	Cheok-Evans-2003
KIDINS220	SFSWAP	0.0030829094	Co-expression	Cheok-Evans-2003
HLA-DRA	HLA-DQA1	0.010052518	Co-expression	Cheok-Evans-2003
HLA-DRA	HLA-DPB1	0.009546472	Co-expression	Cheok-Evans-2003
HLA-DMA	HLA-DQA1	0.011446099	Co-expression	Cheok-Evans-2003
HLA-DMA	HLA-DPB1	0.011072155	Co-expression	Cheok-Evans-2003
HLA-DMA	HLA-DRA	0.0072434163	Co-expression	Cheok-Evans-2003
HLA-DMB	HLA-DQA1	0.011800094	Co-expression	Cheok-Evans-2003
HLA-DMB	HLA-DPB1	0.01085579	Co-expression	Cheok-Evans-2003
HLA-DMB	HLA-DRA	0.007091018	Co-expression	Cheok-Evans-2003
HLA-DMB	HLA-DMA	0.008499483	Co-expression	Cheok-Evans-2003
HLA-DQB1	HLA-DPB1	0.018303009	Co-expression	Cheok-Evans-2003
HLA-DQB1	HLA-DRA	0.010939358	Co-expression	Cheok-Evans-2003
HLA-DQB1	HLA-DMA	0.012568519	Co-expression	Cheok-Evans-2003
HLA-DQB1	HLA-DMB	0.012508866	Co-expression	Cheok-Evans-2003
APOC3	CLUL1	0.012472105	Co-expression	Cheok-Evans-2003
CLASRP	DMWD	0.014367842	Co-expression	Boldrick-Relman-2002
HLA-DRB1	HLA-DQA1	0.005672158	Co-expression	Boldrick-Relman-2002
HLA-DPB1	HLA-DQA1	0.0032611878	Co-expression	Boldrick-Relman-2002
HLA-DPB1	HLA-DRB1	0.004778384	Co-expression	Boldrick-Relman-2002
HLA-DRA	HLA-DQA1	0.003968947	Co-expression	Boldrick-Relman-2002
HLA-DRA	HLA-DRB1	0.0060999393	Co-expression	Boldrick-Relman-2002
HLA-DRA	HLA-DPB1	0.0033654184	Co-expression	Boldrick-Relman-2002
HLA-DMA	SORL1	0.008079956	Co-expression	Boldrick-Relman-2002
HLA-DMA	HLA-DQA1	0.0049290108	Co-expression	Boldrick-Relman-2002
HLA-DMA	HLA-DRB1	0.007858218	Co-expression	Boldrick-Relman-2002
HLA-DMA	HLA-DPB1	0.004383637	Co-expression	Boldrick-Relman-2002
HLA-DMA	HLA-DRA	0.00506245	Co-expression	Boldrick-Relman-2002
HLA-DMB	HLA-DQA1	0.0057231816	Co-expression	Boldrick-Relman-2002
HLA-DMB	HLA-DRB1	0.008859036	Co-expression	Boldrick-Relman-2002
HLA-DMB	HLA-DPB1	0.0051641464	Co-expression	Boldrick-Relman-2002
HLA-DMB	HLA-DRA	0.0056628804	Co-expression	Boldrick-Relman-2002
HLA-DMB	HLA-DMA	0.010112645	Co-expression	Boldrick-Relman-2002
HLA-DQB1	HLA-DQA1	0.0031340425	Co-expression	Boldrick-Relman-2002
HLA-DQB1	HLA-DRB1	0.0046365	Co-expression	Boldrick-Relman-2002
HLA-DQB1	HLA-DPB1	0.0027453832	Co-expression	Boldrick-Relman-2002
HLA-DQB1	HLA-DRA	0.0032646894	Co-expression	Boldrick-Relman-2002
HLA-DQB1	HLA-DMA	0.004142621	Co-expression	Boldrick-Relman-2002
HLA-DQB1	HLA-DMB	0.004917518	Co-expression	Boldrick-Relman-2002
MS4A7	SORL1	0.012379349	Co-expression	Boldrick-Relman-2002
MS4A7	HLA-DPB1	0.004252244	Co-expression	Boldrick-Relman-2002
MS4A7	HLA-DMA	0.0078117414	Co-expression	Boldrick-Relman-2002
MS4A7	HLA-DQB1	0.0043061106	Co-expression	Boldrick-Relman-2002
APOC1	APOC4	0.01591804	Co-localization	Schadt-Shoemaker-2004
APOC2	APOC4	0.011980125	Co-localization	Schadt-Shoemaker-2004
APOC2	APOC1	0.01053097	Co-localization	Schadt-Shoemaker-2004
APOE	APOC4	0.012294967	Co-localization	Schadt-Shoemaker-2004
APOE	APOC1	0.013432075	Co-localization	Schadt-Shoemaker-2004
APOE	APOC2	0.008267086	Co-localization	Schadt-Shoemaker-2004
HLA-DQA1	CR1	0.010506966	Co-localization	Schadt-Shoemaker-2004
CLPTM1	CLU	0.009044575	Co-localization	Schadt-Shoemaker-2004
APOA1	APOC4	0.010712204	Co-localization	Schadt-Shoemaker-2004
APOA1	APOC1	0.008620644	Co-localization	Schadt-Shoemaker-2004
APOA1	APOC2	0.008862144	Co-localization	Schadt-Shoemaker-2004
APOA4	APOC2	0.009353647	Co-localization	Schadt-Shoemaker-2004
APOA4	APOA1	0.013449277	Co-localization	Schadt-Shoemaker-2004
C1QB	HLA-DQA1	0.013255877	Co-localization	Schadt-Shoemaker-2004
HLA-DMB	HLA-DQA1	0.018381573	Co-localization	Schadt-Shoemaker-2004
HLA-DMB	C1QB	0.01584065	Co-localization	Schadt-Shoemaker-2004
APOC3	APOC4	0.013746837	Co-localization	Schadt-Shoemaker-2004
APOC3	APOC1	0.010359601	Co-localization	Schadt-Shoemaker-2004
APOC3	APOC2	0.010139202	Co-localization	Schadt-Shoemaker-2004
APOC3	APOE	0.00802198	Co-localization	Schadt-Shoemaker-2004
APOC3	APOA1	0.010035997	Co-localization	Schadt-Shoemaker-2004
APOC3	APOA4	0.0118000135	Co-localization	Schadt-Shoemaker-2004
APOE	APOC2	0.111800574	Pathway	PATHWAYCOMMONS-REACTOME
APOA1	ABCA7	0.32642645	Pathway	PATHWAYCOMMONS-REACTOME
APOA1	APOC2	0.06620439	Pathway	PATHWAYCOMMONS-REACTOME
APOA1	APOE	0.041281085	Pathway	PATHWAYCOMMONS-REACTOME
APOA5	APOC2	0.17929976	Pathway	PATHWAYCOMMONS-REACTOME
APOA5	APOE	0.111800574	Pathway	PATHWAYCOMMONS-REACTOME
APOA5	APOA1	0.06620439	Pathway	PATHWAYCOMMONS-REACTOME
APOA4	APOC2	0.1223047	Pathway	PATHWAYCOMMONS-REACTOME
APOA4	APOE	0.07626187	Pathway	PATHWAYCOMMONS-REACTOME
APOA4	APOA1	0.04515961	Pathway	PATHWAYCOMMONS-REACTOME
APOA4	APOA5	0.1223047	Pathway	PATHWAYCOMMONS-REACTOME
APOC3	APOC2	0.16668959	Pathway	PATHWAYCOMMONS-REACTOME
APOC3	APOE	0.10393763	Pathway	PATHWAYCOMMONS-REACTOME
APOC3	APOA1	0.06154823	Pathway	PATHWAYCOMMONS-REACTOME
APOC3	APOA5	0.16668959	Pathway	PATHWAYCOMMONS-REACTOME
APOC3	APOA4	0.113703	Pathway	PATHWAYCOMMONS-REACTOME
APOE	APOC2	0.083300665	Pathway	Wu-Stein-2010
BIN1	PICALM	0.14146353	Pathway	Wu-Stein-2010
HLA-DRB1	HLA-DQA1	0.03268823	Pathway	Wu-Stein-2010
APOA1	ABCA7	0.3158669	Pathway	Wu-Stein-2010
APOA1	APOC2	0.04912864	Pathway	Wu-Stein-2010
APOA1	APOE	0.030383728	Pathway	Wu-Stein-2010
APOA5	APOC2	0.1175852	Pathway	Wu-Stein-2010
APOA5	APOE	0.072720855	Pathway	Wu-Stein-2010
APOA5	APOA1	0.04288894	Pathway	Wu-Stein-2010
HLA-DPB1	HLA-DQA1	0.056891963	Pathway	Wu-Stein-2010
HLA-DPB1	HLA-DRB1	0.03268823	Pathway	Wu-Stein-2010
APOA4	APOC2	0.102860555	Pathway	Wu-Stein-2010
APOA4	APOE	0.06361436	Pathway	Wu-Stein-2010
APOA4	APOA1	0.037518155	Pathway	Wu-Stein-2010
APOA4	APOA5	0.0897965	Pathway	Wu-Stein-2010
CD96	PVR	0.63209265	Pathway	Wu-Stein-2010
CD226	PVR	0.3252161	Pathway	Wu-Stein-2010
CD226	PVRL2	0.31534117	Pathway	Wu-Stein-2010
CRTAM	PVRL2	0.63121533	Pathway	Wu-Stein-2010
HLA-DRA	HLA-DQA1	0.031443037	Pathway	Wu-Stein-2010
HLA-DRA	HLA-DRB1	0.018066125	Pathway	Wu-Stein-2010
HLA-DRA	HLA-DPB1	0.031443037	Pathway	Wu-Stein-2010
HLA-DMA	HLA-DQA1	0.056891963	Pathway	Wu-Stein-2010
HLA-DMA	HLA-DRB1	0.03268823	Pathway	Wu-Stein-2010
HLA-DMA	HLA-DPB1	0.056891963	Pathway	Wu-Stein-2010
HLA-DMA	HLA-DRA	0.031443037	Pathway	Wu-Stein-2010
HLA-DMB	HLA-DQA1	0.056891963	Pathway	Wu-Stein-2010
HLA-DMB	HLA-DRB1	0.03268823	Pathway	Wu-Stein-2010
HLA-DMB	HLA-DPB1	0.056891963	Pathway	Wu-Stein-2010
HLA-DMB	HLA-DRA	0.031443037	Pathway	Wu-Stein-2010
HLA-DMB	HLA-DMA	0.056891963	Pathway	Wu-Stein-2010
APOC3	APOC2	0.099473484	Pathway	Wu-Stein-2010
APOC3	APOE	0.061519615	Pathway	Wu-Stein-2010
APOC3	APOA1	0.036282726	Pathway	Wu-Stein-2010
APOC3	APOA5	0.086839594	Pathway	Wu-Stein-2010
